,Tender name,Industry,Location of contract,Value of contract,Procurment references,Published date,closing date,closing time
26,Contingent Labour via Agency,Recruitment services - 79600000,WR3 8SP,"£0 to £1,800,000",20220421193112-30493,21 April 2022,24 May 2022,12pm
27,SOL - Woodland Infrastructure Enhancement (Alcott Wood & Chelmsley Wood) ERDF,Landscaping work - 45112700,B91 3QB,"£45,000 to £55,000",IT-208-13567-SOL - 13567,20 April 2022,16 May 2022,12pm
28,20314 CHAPELFIELD PRIMARY SCHOOL / 20 ST ANDREWS CLOSE - REBUILDING OF BOUNDARY WALL,Construction work - 45000000,England,"£78,000",BURY001-DN608923-39065584,21 April 2022,23 May 2022,12pm
29,Media Purchasing Services Framework,Advertising material - 22462000,SO238UJ,"£1 to £3,000,000",IT-5-19353-HR19353,21 April 2022,24 May 2022,2pm
30,Purchase of Combilift C4000E for HS Workshops,Industrial machinery - 42000000,South East,£0,MT226073,21 April 2022,26 May 2022,12pm
31,Ormiston Academies Trust - Gas & Electricity Flexible Purchase in Advance Supply Contracts,"Petroleum products, fuel, electricity and other sources of energy - 09000000",Any region,£0,MT226080,21 April 2022,23 May 2022,4pm
32,Chislehurst & Sidcup Grammar School and Hurstmere School Cleaning,School cleaning services - 90919300,South East,£0,MT226059,21 April 2022,13 May 2022,1pm
33,Cricklewood Broadway: Pocket Park Options Appraisal,Development consultancy services - 73220000,London,"£50,000",MT226024,21 April 2022,6 May 2022,12pm
34,"Everything Net Zero - Services, Products, Solutions, and Support for the public sector transition to Net Zero","Business services: law, marketing, consulting, recruitment, printing and security - 79000000",Any region,£0,MT226079,21 April 2022,26 May 2022,12pm
35,Peckham Roofing works,Roof - 44112400,London,"£120,000",MT226077,21 April 2022,11 May 2022,12pm
36,Grant Funding for the Aspire Project,Education and training services - 80000000,East of England,"£20,000",NCCQ42426,21 April 2022,2 June 2022,4pm
37,Winter Bureau Service and Maintenance Contract,Weather-forecasting services - 71351600,England,"£624,000",STOCK001-DN608898-79169014,21 April 2022,23 May 2022,12pm
38,Main Contractor Framework,Construction work - 45000000,RG21 4FA,£0,IT-530-2-Sovereign Tender 0002,21 April 2022,9 May 2022,12:47am
39,Piloting of high pressure washing for radiological decontamination of UK urban surfaces,"Cleaning and sanitation services in urban or rural areas, and related services - 90600000",London,£0,tender_304385/1065473,21 April 2022,20 May 2022,12pm
40,"Extended Activities, 11 week Play Scheme and Toy Loan Service for Families of Children with Disabilities and Additional Needs ('Short Break' Services)",Education and training services - 80000000,TS24 8AY,£0,HART001-DN608492-18928623,21 April 2022,6 May 2022,2pm
41,Play Area Redevelopment,"Recreational, cultural and sporting services - 92000000",GL52 8LZ,"£60,000 to £70,000",Cheltenham Road Play Area Redevelopment,25 March 2022,3 May 2022,12pm
42,Provision of Multi-Disciplinary Consultancy Services for the Development of the Gants Hill Hub scheme site,Construction work - 45000000,England,REDBR001-DN608909-28644037,21 April 2022,3 May 2022,No,No
43,CPU 5421 Local Net Zero Hub Programme Evaluation,Energy-efficiency consultancy services - 71314300,United Kingdom,"£100,000",NOTTCITY001-DN606273-00261213,6 April 2022,6 May 2022,12pm
44,Met Office Academic Partnership Science Framework,Research and development services and related consultancy services - 73000000,United Kingdom,"£8,000,000",METOFC001-DN600943-82898450,21 April 2022,13 June 2022,12pm
45,WDC - Provision of Cleaning Supplies,Cleaning products - 39830000,CV32 5HZ,"£90,000 to £150,000",IT-208-13576-WDC - 13576,21 April 2022,23 May 2022,12pm
46,Dorset Accessible Homes Service including Sight and Hearing Impairment Service,Health and social work services - 85000000,England,"£27,627,289",DORST001-DN591048-33739049,21 April 2022,23 May 2022,11am
47,Researcher and Post Graduate Student Training Management Solution,Software package and information systems - 48000000,HD1 3DH,"£0 to £180,000",IT-145-452-HUD-CLS-043,21 April 2022,16 May 2022,12pm
48,Station End Equipment - Pre Tender Market Engagement,Telecommunications equipment and supplies - 32500000,MK42 7NR,BF0893,21 April 2022,4 May 2022,Yes,No
49,Provision of a Display Cases and Objects Security System,Surveillance and security systems and devices - 35120000,England,£0,LEICSCITY02-DN584547-53465153,21 April 2022,24 May 2022,10am
50,CLSG Summer 2022 Works,Construction work - 45000000,Any region,"£1,600,000",tender_300127/1050034,7 March 2022,22 April 2022,5pm
51,TEC Partnership - Ventilation Service V2,Ventilation equipment - 42520000,DN34 5BQ,£0,IT-399-2480-TEC-VENT-22 V2,21 April 2022,4 May 2022,12pm
52,Supply of Wet Forensic Services,Laboratory services - 71900000,Any region,"£1,440,000",tender_290946/1024134,21 April 2022,24 May 2022,12pm
53,Guest Curator for 'Spirit of Invention' - Exhibition Development and Delivery,Education and training services - 80000000,TW9 4DU,"£16,000",TNA468,21 April 2022,20 May 2022,5pm
54,Arboricultural Maintenance Services Contract (Tree Works) 2022-2025,Tree-maintenance services - 77211500,East of England,"£900,000",CON0306,21 April 2022,23 May 2022,11:59pm
55,Guaranteed Income Products (Annuities) Comparison tool user interface and data provision,"IT services: consulting, software development, Internet and support - 72000000",United Kingdom,Guaranteed Income Products (Annuities) Comparison tool user interface and data provision,21 April 2022,6 May 2022,Yes,Yes
56,Mayflower Park Barrier Controlled Parking,"Control, safety or signalling equipment for parking facilities - 34996300",SO14 7LY,"£100,000",SCC-SMS-0305,8 April 2022,13 May 2022,12pm
57,The Supply of HVO Fuel,Fuel oils - 09135000,Scotland,"£20,000,000",BIP677372629,21 April 2022,24 May 2022,1pm
58,"TfL - Cable Car - Operate, Maintain and Business Development",Transport equipment and auxiliary products to transportation - 34000000,England,TFL001-DN608376-18681863,21 April 2022,13 May 2022,Yes,No
59,CCS003/2022 - Outreach Support and Positive Activities for Children & Young People with Disabilities,Health and social work services - 85000000,England,"£1,400,000",MDB001-DN608848-73443901,21 April 2022,27 May 2022,4pm
60,Managing Agent for Sidcup 106 Mixed Use development,Property management services of real estate on a fee or contract basis - 70330000,London,"£140,000",BIP685130993,21 April 2022,27 May 2022,5pm
61,RFI for Pension Strategy Review,Pension fund consultancy services - 66523000,United Kingdom,00297-CS,21 April 2022,12 May 2022,Yes,No
62,"CA10356 - Waltham Forest College, contract for Agency Services to Supply temporary Teaching and Assessing Staff",Supply services of personnel including temporary staff - 79620000,E17 4JB,£0,74022037-5abe-440d-9c0d-851166a5e6a3,21 April 2022,23 May 2022,10am
63,Launceston Town Council - Request for Quotation,Urban planning and landscape architectural services - 71400000,PL15 8QA,"£118,800",Launceston Safer Greener Streets' Project - Feasibility Study,17 March 2022,25 April 2022,12pm
64,CFN Floral Displays across the London Borough of Hillingdon,Playground equipment - 37535200,UB8 1UW,"£190,000",tender_304710/1064734,21 April 2022,23 May 2022,12pm
65,RUG - Insurance Programme,Insurance services - 66510000,CV21 2RR,"£2,500,000",IT-208-13571-RUG - 13571,21 April 2022,31 May 2022,12pm
66,T&D Framework for the provisions of Technology Services,Recruitment services - 79600000,Any region,£6.70,BIP684966385,21 April 2022,9 July 2022,4pm
67,Purchase of Combilift C4000E for HS Workshops,Lifting and handling equipment - 42410000,PO1 3NH,"£75,000 to £95,000",226073,21 April 2022,26 May 2022,12pm
68,2032-OJEU-DPS - Adaptations for Independent Living,Construction work for houses - 45211100,NR33 0EQ,"£0 to £20,000,000",2032-OJEU-DPS,26 April 2021,3 May 2031,5pm
69,2032-OJEU-DPS - Adaptations for Independent Living,Construction work for houses - 45211100,NR33 0EQ,"£0 to £20,000,000",2032-OJEU-DPS,26 April 2021,3 May 2031,5pm
70,"IA12 Sub Systems: Port plug, DSM an DFW",Industrial machinery - 42000000,South East,"£0 to £280,000",20220421143149-72814,21 April 2022,13 June 2022,12pm
71,Learning & updates package to support trainees taking time out of training,Education and training services - 80000000,England,"£112,500",CF-0787700D0O000000rwimUAA1,21 April 2022,23 May 2022,12pm
72,PV Solar Panels Installation,Solar panels - 09331000,WF17 6GH,"£56,850",01171900,21 April 2022,2 May 2022,5pm
73,Hackney and Private Hire Compliance (Testing),"Repair, maintenance and associated services of vehicles and related equipment - 50100000",TN23 1PL,"£38,400 to £64,000",DN07226,21 April 2022,4 May 2022,10am
74,HCC 04/2022 - The Provision of Disposable Gloves,Disposable gloves - 18424300,SG13 8DE,£0,IT-285-6383-HCC2113064,21 April 2022,26 May 2022,12pm
75,Provision of Recruitment Services for Non-Executive Positions,Recruitment services - 79600000,GL1 1UB,"£35,000 to £85,000",QAA/2022/02,21 April 2022,10 May 2022,5pm
76,Provision of Recruitment Services for Non-Executive Positions,Recruitment services - 79600000,GL1 1UB,"£35,000 to £85,000",QAA/2022/02,21 April 2022,10 May 2022,5pm
77,GB-South West: MW2206 West Region Windows,"Windows, doors and related items - 44221000",South West,"£50,000 to £100,000",BIP684974573,21 April 2022,26 May 2022,12pm
78,"G Cloud 13 (Lots 1, 2 & 3)",Software package and information systems - 48000000,United Kingdom,"£4,000,000,000",RM1557.13,9 March 2022,18 May 2022,3pm
79,SSD 22 04 Soft Market Test Home Improvement Agency,Health and social work services - 85000000,England,DERBSCC001-DN608817-34259051,21 April 2022,13 May 2022,Yes,Yes
80,NHS South Sefton CCG - APMS Contracts - Provider Engagement Event,General-practitioner services - 85121100,North West,CM-22-02,21 April 2022,3 May 2022,Yes,Yes
81,Bradford District Local Plan Sustainability Appraisal (Incorporating Strategic Environmental Assessment),Research and development services and related consultancy services - 73000000,Yorkshire and the Humber,"£60,000 to £100,000",20220323173138-103277,23 March 2022,9 May 2022,12pm
82,RFQ for NNC Design and installation of a skate park at Kingswood in Corby,Site preparation work - 45100000,NN18 9HU,"£74,000 to £79,000",NNC00000140,18 March 2022,5 May 2022,12pm
83,Digital Strategy Consultancy Support and Assurance,"IT services: consulting, software development, Internet and support - 72000000",United Kingdom,"£200,000",GUINPART001-DN608713-14758968,21 April 2022,9 May 2022,5pm
84,GB-Colchester: External Repairs and Redecoration at Town Hall,Decoration work - 45451000,East of England,"£100,000 to £500,000",BIP684995662,21 April 2022,18 May 2022,6pm
85,21_ 10_01 EIBSS Benefits & Welfare Advice,Provision of services to the community - 75200000,NE15 8NY,CF-0786800D0O000000rwimUAA1,21 April 2022,6 May 2022,Service contract,Yes
86,Professional Property Services Consultant - Weston-super-Mare Town Centre Development Sites,Real estate services - 70000000,South West,"£70,000",NSOMS001-DN608668-20411272,21 April 2022,19 May 2022,1pm
87,Conservation Management Plan for Lowestoft Town Hall,Civil engineering consultancy services - 71311000,SN2 2EH,"£0 to £15,000",IT-514-49-P/REF 00000049,21 April 2022,25 May 2022,12pm
88,Tender for the Internal Alterations to Uplands Manor Primary School Smethwick West Midlands,Construction work - 45000000,B69 3DB,"£160,000 to £200,000",IT-230-6033-SMBC 22067,21 April 2022,6 June 2022,3pm
89,"Supply, Installation and Maintenance of a Physical Security Information Management System (CPU 5252)",Security software package - 48730000,England,"£360,000",NOTTCITY001-DN608663-24827336,21 April 2022,23 May 2022,12pm
90,Marychurch School Demolition,Site preparation work - 45100000,England,"£123,000",SOT001-DN608724-31557125,21 April 2022,26 May 2022,12pm
91,PROVISION OF GENERATOR MAINTENANCE AT BRITISH HIGH COMMISSION KIGALI,Repair and maintenance services of generators - 50532300,SW1A 2AH,£0,tender_304811/1065278,21 April 2022,11 May 2022,12pm
92,Window Cleaning Services,Window-cleaning services - 90911300,United Kingdom,"£95,000",PARADIGM-DN608594-06187906,17 March 2022,23 May 2022,12pm
93,BBC Product Group Partner Integration Hub RFI,"Networking, Internet and intranet software package - 48200000",Any region,tender_304820/1065204,21 April 2022,20 May 2022,Yes,No
94,Two Marquees for June 2022 and July 2022,Event services - 79952000,LU2 8DL,£0,ES/TS,21 April 2022,28 April 2022,12pm
95,GB-London: DECARB Incentivising Supply Chain Decarbonisation (T1228-01),Research and development services and related consultancy services - 73000000,London,"£100,000 to £500,000",BIP684935930,21 April 2022,19 May 2022,2pm
96,Sparrow Farm Primary School ~ Cleaning Tender,School cleaning services - 90919300,London,"£250,000",BIP684953691,21 April 2022,27 May 2022,12pm
97,RA316866 - Steelworks - The Shrewsbury and Telford Hospital NHS Trust,Building installation work - 45300000,SY3 8XQ,£0,RA316866,21 April 2022,26 April 2022,12pm
98,Sparrow Farm Primary School ~ Catering Tender,School catering services - 55524000,London,"£666,666",BIP684923893,21 April 2022,27 May 2022,12pm
99,Market Consultation Exercise - Future Southampton Carer Support Service,Health and social work services - 85000000,South East,"£1,765,575",SCC-SMS-0348,21 April 2022,20 July 2022,1 April 2023
100,GB-London: Fire Stopping and Compartmentation Works Bayes Business School,Fire-prevention installation works - 45343000,London,"£50,000 to £100,000",BIP668249651,21 April 2022,13 May 2022,12pm
101,Capital works at the Primary Pupil Referral Unit (PRU) site in Bletchley,Construction work for buildings relating to education and research - 45214000,MK9 3EJ,£0,IT-480-245-2022-039,21 April 2022,19 May 2022,11:59pm
102,10046 - Let NCC Repairs,"Locks, keys and hinges - 44520000",East of England,"£0 to £440,000",NRW/HCS/10046/B,21 April 2022,23 May 2022,2pm
103,Void Activation Popup Phase 3 Space Operator,Commercial property management services - 70332200,SW1E 6QP,tender_304625/1064567,20 April 2022,29 April 2022,Yes,Yes
104,"Design, Supply & Installation of fire alarm system at Seacombe Landing Stage",Construction work - 45000000,North West,"£31,000",MERTVL001-DN608518-97430151,21 April 2022,11 May 2022,11am
105,Design and Implementation of enhanced recovery support,Patient-administration system - 48814200,LS2 7UE,"£60,000 to £74,900",CF-0776100D0O000000rwimUAA2,14 April 2022,28 April 2022,12pm
106,HRA Pitched Roofing Works Programme 2022-2024,Construction structures and materials; auxiliary products to construction (except electric apparatus) - 44000000,England,"£1,250,000",MEDWAY001-DN608700-97865968,21 April 2022,26 May 2022,5pm
107,World Gymnastics Championships Liverpool 2022 - Transport Services Provider,Transport services (excl. Waste transport) - 60000000,North West,"£125,000",LPOOL001-DN605695-13483751,4 April 2022,26 April 2022,10am
108,Middlehurst Special School Demolition HDG/2022/163,Demolition work - 45111100,England,"£125,000",SOT001-DN608395-44393495,21 April 2022,26 May 2022,12pm
109,Crest Infant School Roofing Works,Construction structures and materials; auxiliary products to construction (except electric apparatus) - 44000000,England,"£150,000",MEDWAY001-DN608692-82292575,21 April 2022,26 May 2022,2:30pm
110,GBC - Oak Processionary Moth (OPM) - Nest Survey RFQ 2022,Tree-clearing services - 77211300,GU2 4BB,£0,IT-234-34381-GBC - 034381,20 April 2022,11 May 2022,12pm
111,2022 - 0930 Right to Buy/ Right to Acquire/ Lease Extension property valuation Services,Ventilation and air-conditioning installation work - 45331200,B37 7YN,"£75,000 to £400,000",IT-240-930-2022 - 0930,21 April 2022,6 June 2022,11:59am
112,703692450 MULTI-MODE RADAR (MMR) REQUEST FOR INFORMATION,Air defence radar - 35723000,East of England,tender_304509/1064091,14 April 2022,31 May 2022,Yes,No
113,tender name missing,industry missing,location of contract missing,value of contract missing,procurement reference missing,published date missing,closing date missing,closing time missing
114,PQ0369 - Supply of Festive and Christmas Lighting Features,Lighting equipment and electric lamps - 31500000,B4 7WB,£0,IT-100-3663-PQ0369,21 April 2022,5 May 2022,12pm
115,National Tutoring Programme - Delivery partner(s) from AY 2022/23 - Lot 3 Recruiting and Deploying Academic Mentors,Education and training services - 80000000,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","£7,987,500",tender_303213/1064950,20 April 2022,23 May 2022,1pm
116,National Tutoring Programme - Delivery partner(s) from AY 2022/23 - Lot 2 Training for Tutors & Academic Mentors,Education and training services - 80000000,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","£7,423,500",tender_303213/1064949,20 April 2022,23 May 2022,1pm
117,National Tutoring Programme - Delivery partner(s) from AY 2022/23 - Lot 1 Quality Assurance of Tuition Partners,Education and training services - 80000000,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","£2,481,600",tender_303213/1064948,20 April 2022,23 May 2022,1pm
118,"WH22001 - Construction of Eight New Housing Units on the Magic Gardens site, & Bushbury Hill estate.",Construction work for multi-dwelling buildings and individual houses - 45211000,England,"£1,400,000",WOLVCITY001-DN605606-57870617,20 April 2022,29 May 2022,12pm
119,GB-Telford: Supply of Digital Asset Management System,Software package and information systems - 48000000,West Midlands,"£10,000 to £25,000",BIP684882295,20 April 2022,29 April 2022,12pm
